id,Porcentagem,Binario
446758,0.9999893068203883,1
444798,0.9999890952267197,1
480235,0.9999879508003419,1
412590,0.9999870526858625,1
453031,0.999986849170109,1
465250,0.999986445903778,1
498494,0.999986445588505,1
427643,0.9999861397569432,1
452641,0.9999859041945005,1
472037,0.9999857038710331,1
438151,0.9999855128690529,1
489533,0.999985458356274,1
443449,0.9999853717611769,1
411506,0.9999851941924833,1
491342,0.999984918798196,1
433428,0.999984818947072,1
384716,0.9999842692849739,1
395953,0.9999840043198186,1
490784,0.9999835694020098,1
500035,0.9999835676742663,1
482493,0.9999834624493812,1
385189,0.9999832268416275,1
403086,0.9999832082041026,1
383026,0.9999828985179164,1
462587,0.9999826507672556,1
397861,0.9999815819969062,1
415581,0.999981262521229,1
476253,0.9999811390025883,1
502709,0.999980432687957,1
481977,0.999980424427995,1
420676,0.9999798246797388,1
383496,0.9999795516884563,1
390820,0.9999795421820287,1
400758,0.999979472160244,1
413708,0.999979352264805,1
391829,0.9999793202070721,1
400156,0.9999792958032612,1
447416,0.9999787794793547,1
417353,0.9999786351952978,1
460650,0.9999786321531255,1
391761,0.9999786227919479,1
492907,0.999978614601937,1
392033,0.9999785473105132,1
443395,0.9999783619959253,1
471071,0.999978280042478,1
422719,0.9999782800330197,1
416336,0.9999782269829731,1
390395,0.9999781012458296,1
471210,0.9999780582743456,1
385078,0.9999779544512594,1
439816,0.9999775245963677,1
417844,0.9999774413272486,1
465306,0.9999771525262762,1
478702,0.999977025943446,1
505156,0.9999764427930959,1
411719,0.9999757170218411,1
464560,0.9999751148711702,1
482119,0.9999748931247783,1
495684,0.9999747312254914,1
424960,0.99997472325386,1
442662,0.9999745249121513,1
412435,0.9999745185820147,1
492660,0.9999745009543596,1
421574,0.9999744833218883,1
425649,0.9999744798544529,1
459251,0.9999744541357269,1
484453,0.9999743982437218,1
427507,0.9999742269039728,1
414087,0.9999739869646813,1
498311,0.9999739216689245,1
456042,0.9999737614765727,1
462833,0.9999735713005032,1
472973,0.9999734146569026,1
393730,0.9999734119454403,1
422417,0.9999733980651733,1
469453,0.9999731030401281,1
408207,0.9999729407859095,1
455282,0.9999728245479469,1
486369,0.9999727275058274,1
442810,0.9999727131014029,1
482330,0.9999726771696889,1
446153,0.9999724512033037,1
420318,0.9999723767281996,1
506669,0.9999722204588047,1
494023,0.999972135803104,1
382507,0.9999720616188263,1
487341,0.9999719313726242,1
406235,0.9999719267574302,1
436311,0.9999717912879235,1
392863,0.9999715169789992,1
386467,0.9999714821733696,1
389646,0.9999714575857757,1
477190,0.9999714069509029,1
494417,0.999971349914335,1
430116,0.9999709691526459,1
500540,0.999970700688299,1
413559,0.9999704798890567,1
383902,0.9999703421962295,1
421394,0.9999703274494989,1
452337,0.9999700038994536,1
412673,0.9999699846434092,1
393678,0.9999696359283157,1
461759,0.9999695097964596,1
446124,0.9999692797604184,1
462032,0.9999692621200749,1
459751,0.9999691602695208,1
452894,0.9999690951918012,1
437842,0.9999687425839643,1
398397,0.9999686389681501,1
470822,0.999968597998739,1
405185,0.9999684440343255,1
449462,0.9999683259348392,1
498977,0.9999683040514785,1
477567,0.999968195898878,1
497719,0.9999681644501346,1
481728,0.9999679685397042,1
419144,0.9999675143428423,1
427704,0.9999673719408156,1
488146,0.999967305702068,1
478959,0.9999673006332351,1
484767,0.9999672636866683,1
461418,0.9999671766207053,1
502541,0.9999670147894393,1
428586,0.9999670064734525,1
414536,0.999966882472037,1
454064,0.99996684197496,1
432216,0.9999666120003057,1
428707,0.9999664514506847,1
393118,0.9999663645424862,1
408810,0.9999662676639969,1
483251,0.9999662619093485,1
386178,0.9999661802807477,1
461889,0.9999659916977803,1
397460,0.9999658632933085,1
427968,0.9999657099576797,1
430234,0.9999656654858486,1
410281,0.9999654596319103,1
426223,0.9999653453906043,1
413414,0.9999653070479563,1
